Country,Localite,Category,Value,Date,Sources,Link
Liberia,Nimba County,Deaths,1,4/16/14,UNICEF,https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf
Guinea,Conakry,Cases,50,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Conakry,Deaths,20,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dabola ,Cases,4,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dabola ,Deaths,4,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dinguiraye ,Cases,1,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Dinguiraye ,Deaths,1,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Gueckedou,Cases,120,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Gueckedou,Deaths,83,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Kissidougou,Cases,6,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Kissidougou,Deaths,5,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Macenta,Cases,22,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,Macenta,Deaths,16,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Cases,203,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Confirmed cases,109,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Guinea,National,Deaths,129,4/17/14,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-19-avril-2014
Liberia,National,Cases,27,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Liberia,National,Confirmed cases,6,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Liberia,National,Deaths,13,4/18/14,Gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20April%202014%20pdf%281%29_0.pdf
Guinea,Conakry,Cases,53,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
Guinea,Conakry,Deaths,23,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
Guinea,Dabola ,Cases,4,4/20/14,Ministere de la Sante,http://reliefweb.int/report/guinea/ebola-virus-disease-west-africa-situation-22-april-2014
